cor,pb,par,fio,anilha,corAnilha
Azul,Preto,1,11,I,Rosa
Vermelho,Branco,1,12,I,Rosa
Cinza,Preto,2,13,I,Rosa
Amarelo,Branco,2,14,I,Rosa
Verde,Preto,3,15,I,Rosa
Marrom,Branco,3,16,I,Rosa
Preto,Preto,4,17,I,Rosa
Branco,Branco,4,18,I,Rosa
Ciano,-,-,19,I,Rosa
Azul,Preto,5,21,II,Rosa
Vermelho,Branco,5,22,II,Rosa
Cinza,Preto,6,23,II,Rosa
Amarelo,Branco,6,24,II,Rosa
Verde,Preto,7,25,II,Rosa
Marrom,Branco,7,26,II,Rosa
Preto,Preto,8,27,II,Rosa
Branco,Branco,8,28,II,Rosa
Ciano,-,-,29,II,Rosa
Azul,Preto,9,31,III,Rosa
Vermelho,Branco,9,32,III,Rosa
Cinza,Preto,10,33,III,Rosa
Amarelo,Branco,10,34,III,Rosa
Verde,Preto,11,35,III,Rosa
Marrom,Branco,11,36,III,Rosa
